state,year, population 
NH,1987," 1,054,289 "
NJ,1987," 7,670,742 "
NM,1987," 1,478,520 "
NY,1987," 17,868,848 "
NC,1987," 6,403,700 "
ND,1987," 661,136 "
OH,1987," 10,760,090 "
OK,1987," 3,210,122 "
OR,1987," 2,700,991 "
PA,1987," 11,810,866 "
RI,1987," 989,604 "
SC,1987," 3,380,506 "
SD,1987," 696,036 "
TN,1987," 4,782,927 "
TX,1987," 16,621,791 "
UT,1987," 1,678,119 "
VT,1987," 540,267 "
VA,1987," 5,932,268 "
WA,1987," 4,531,901 "
WV,1987," 1,857,585 "
WI,1987," 4,777,919 "
WY,1987," 476,965 "
AL,1988," 4,023,844 "
AK,1988," 541,983 "
AZ,1988," 3,535,183 "
AR,1988," 2,342,656 "
CA,1988," 28,464,249 "
CO,1988," 3,262,281 "
CT,1988," 3,271,953 "
DE,1988," 647,622 "
DC,1988," 630,432 "
FL,1988," 12,306,395 "
GA,1988," 6,316,142 "
HI,1988," 1,079,828 "
ID,1988," 985,664 "
IL,1988," 11,390,183 "
IN,1988," 5,491,735 "
IA,1988," 2,768,388 "
KS,1988," 2,461,996 "
KY,1988," 3,679,999 "
LA,1988," 4,288,863 "
ME,1988," 1,203,840 "
MD,1988," 4,657,904 "
MA,1988," 5,979,982 "
MI,1988," 9,217,998 "
MN,1988," 4,296,166 "
MS,1988," 2,580,352 "
MO,1988," 5,081,736 "
MT,1988," 800,202 "
NE,1988," 1,571,477 "
NV,1988," 1,075,022 "
NH,1988," 1,082,577 "
NJ,1988," 7,712,333 "
NM,1988," 1,490,337 "
NY,1988," 17,941,309 "
NC,1988," 6,480,594 "
ND,1988," 655,331 "
OH,1988," 10,798,552 "
OK,1988," 3,167,057 "
OR,1988," 2,741,297 "
PA,1988," 11,845,752 "
RI,1988," 996,408 "
SC,1988," 3,412,096 "
SD,1988," 698,165 "
TN,1988," 4,822,437 "
TX,1988," 16,667,022 "
UT,1988," 1,689,372 "
VT,1988," 549,763 "
VA,1988," 6,036,909 "
WA,1988," 4,639,893 "
WV,1988," 1,830,215 "
WI,1988," 4,822,388 "
WY,1988," 465,101 "
AL,1989," 4,030,222 "
AK,1989," 547,159 "
AZ,1989," 3,622,185 "
AR,1989," 2,346,358 "
CA,1989," 29,218,164 "
CO,1989," 3,275,818 "
CT,1989," 3,283,403 "
DE,1989," 658,273 "
DC,1989," 624,168 "
FL,1989," 12,637,715 "
GA,1989," 6,411,099 "
HI,1989," 1,094,588 "
ID,1989," 994,416 "
IL,1989," 11,409,782 "
IN,1989," 5,523,693 "
IA,1989," 2,770,592 "
KS,1989," 2,472,849 "
KY,1989," 3,677,306 "
LA,1989," 4,252,894 "
ME,1989," 1,219,961 "
MD,1989," 4,727,301 "
MA,1989," 6,015,478 "
MI,1989," 9,253,295 "
MN,1989," 4,338,057 "
MS,1989," 2,574,269 "
MO,1989," 5,095,830 "
MT,1989," 799,636 "
NE,1989," 1,574,864 "
NV,1989," 1,137,382 "
NH,1989," 1,104,522 "
