"year","period","periodName","value","state","quarter","annual","HPI","MHI","RMHI","poverty","population","sp500"
1996,"M12","December","5.1","WY",4,"1",134.42,30953,49487,11.9,480085,20.26
1997,"M12","December","4.7","WY",4,"1",140.26,33423,52306,13.5,480031,31.01
1998,"M12","December","4.8","WY",4,"1",143.22,35250,54428,10.6,480045,26.67
1999,"M12","December","4.3","WY",4,"1",147.87,37248,56314,11.6,479602,19.53
2000,"M12","December","3.9","WY",4,"1",156.35,39629,57947,10.8,494300,-10.14
2001,"M12","December","3.9","WY",4,"1",164.96,39719,56471,8.7,494657,-13.04
2002,"M12","December","4.5","WY",4,"1",175.3,39763,55656,9,500017,-23.37
2003,"M12","December","4.2","WY",4,"1",187.13,42555,58241,9.8,503453,26.38
2004,"M12","December","3.7","WY",4,"1",207.18,45397,60497,10,509106,8.99
2005,"M12","December","3.5","WY",4,"1",232.39,44718,57639,10.6,514157,3
2006,"M12","December","2.9","WY",4,"1",260.65,47041,58730,10,522667,13.62
2007,"M12","December","2.5","WY",4,"1",279.03,48744,59178,10.9,534876,3.53
2008,"M12","December","3.7","WY",4,"1",279.73,53337,62359,10.1,546043,-38.49
2009,"M12","December","7.5","WY",4,"1",270.06,52470,61559,9.2,559851,23.45
2010,"M12","December","6.2","WY",4,"1",267.19,52201,60249,9.6,564460,12.78
2010,"M12","December","6.2","WY",4,"1",267.19,52201,60249,9.6,564483,12.78
2011,"M12","December","5.7","WY",4,"1",264.15,54509,60991,10.7,567224,0
2012,"M12","December","5.2","WY",4,"1",269.57,57512,63016,9.6,576270,13.41
2013,"M12","December","4.6","WY",4,"1",274.77,67441,72817,11.4,582123,29.6
2014,"M12","December","3.8","WY",4,"1",285.32,55690,59128,9.7,582548,11.39
2015,"M12","December","4.8","WY",4,"1",294.43,60925,64575,9.8,585668,-0.73
2016,"M12","December","5.1","WY",4,"1",300.76,57829,60513,10.9,584290,9.54
2017,"M12","December","4.0","WY",4,"1",307.21,59536,60987,13,578934,19.42
2017,"M12","December","4.0","WY",4,"1",307.21,59536,60987,12.4,578934,19.42
2018,"M12","December","3.7","WY",4,"1",318.11,62539,62539,9.5,577737,-6.24
